Time,Country,Crop,Yield (Tons per Hectare),Production
8/1/2002,USA,Wheat,2.38,45.89
9/1/2002,USA,Wheat,2.38,45.89
10/1/2002,USA,Wheat,2.37,44.22
11/1/2002,USA,Wheat,2.373,43.99
12/1/2002,USA,Wheat,2.37,43.99
1/1/2003,USA,Wheat,2.37,43.99
2/1/2003,USA,Wheat,2.37,43.99
3/1/2003,USA,Wheat,2.37,43.99
4/1/2003,USA,Wheat,2.37,43.99
5/1/2003,USA,Wheat,2.7,57.52
6/1/2003,USA,Wheat,2.78,59.23
7/1/2003,USA,Wheat,2.95,62.89
8/1/2003,USA,Wheat,2.93,62.37
9/1/2003,USA,Wheat,2.93,62.37
10/1/2003,USA,Wheat,2.97,63.59
11/1/2003,USA,Wheat,2.98,63.59
12/1/2003,USA,Wheat,2.96,63.59
1/1/2004,USA,Wheat,2.95,63.59
2/1/2004,USA,Wheat,2.97,63.59
3/1/2004,USA,Wheat,2.97,63.59
4/1/2004,USA,Wheat,2.97,63.59
5/1/2004,USA,Wheat,2.78,56.62
6/1/2004,USA,Wheat,2.75,56.08
7/1/2004,USA,Wheat,2.73,56.04
8/1/2004,USA,Wheat,2.82,57.78
9/1/2004,USA,Wheat,2.82,57.78
10/1/2004,USA,Wheat,2.9,58.88
11/1/2004,USA,Wheat,2.92,58.74
12/1/2004,USA,Wheat,2.9,58.74
1/1/2005,USA,Wheat,2.89,58.74
2/1/2005,USA,Wheat,2.9,58.74
3/1/2005,USA,Wheat,2.92,58.74
4/1/2005,USA,Wheat,2.9,58.74
5/1/2005,USA,Wheat,2.87,59.46
6/1/2005,USA,Wheat,2.81,58.24
7/1/2005,USA,Wheat,2.95,60.1
8/1/2005,USA,Wheat,2.89,58.98
9/1/2005,USA,Wheat,2.89,58.98
10/1/2005,USA,Wheat,2.82,57.11
11/1/2005,USA,Wheat,2.82,57.11
12/1/2005,USA,Wheat,2.82,57.11
1/1/2006,USA,Wheat,2.82,57.28
2/1/2006,USA,Wheat,2.82,57.28
3/1/2006,USA,Wheat,2.82,57.28
4/1/2006,USA,Wheat,2.82,57.28
5/1/2006,USA,Wheat,2.73,50.97
6/1/2006,USA,Wheat,,
7/1/2006,USA,Wheat,,
8/1/2006,USA,Wheat,,
9/1/2006,USA,Wheat,2.57,49.03
10/1/2006,USA,Wheat,2.6,49.32
11/1/2006,USA,Wheat,2.6,49.32
12/1/2006,USA,Wheat,2.63,49.32
1/1/2007,USA,Wheat,2.61,49.32
2/1/2007,USA,Wheat,2.58,49.32
3/1/2007,USA,Wheat,2.6,49.32
4/1/2007,USA,Wheat,2.6,49.32
5/1/2007,USA,Wheat,2.8,59.16
6/1/2007,USA,Wheat,2.79,59
7/1/2007,USA,Wheat,2.74,58.19
8/1/2007,USA,Wheat,2.73,57.73
9/1/2007,USA,Wheat,2.73,57.73
10/1/2007,USA,Wheat,2.72,56.25
11/1/2007,USA,Wheat,2.71,56.2
12/1/2007,USA,Wheat,2.74,57
1/1/2008,USA,Wheat,2.72,56.25
2/1/2008,USA,Wheat,2.72,56.25
3/1/2008,USA,Wheat,2.69,55.4
4/1/2008,USA,Wheat,2.73,57.66
5/1/2008,USA,Wheat,2.86,65.1
6/1/2008,USA,Wheat,2.91,66.18
7/1/2008,USA,Wheat,2.92,66.97
8/1/2008,USA,Wheat,2.93,67.02
9/1/2008,USA,Wheat,2.92,66.96
10/1/2008,USA,Wheat,3.02,68.03
11/1/2008,USA,Wheat,3.02,68.03
12/1/2008,USA,Wheat,3.02,68.03
1/1/2009,USA,Wheat,3,67.33
2/1/2009,USA,Wheat,2.98,67.1
3/1/2009,USA,Wheat,3.02,68.06
4/1/2009,USA,Wheat,3.02,68.06
5/1/2009,USA,Wheat,2.79,55.14
6/1/2009,USA,Wheat,2.77,54.86
7/1/2009,USA,Wheat,2.82,57.49
8/1/2009,USA,Wheat,2.91,59.43
9/1/2009,USA,Wheat,2.91,59.43
10/1/2009,USA,Wheat,2.98,60.42
11/1/2009,USA,Wheat,2.99,60.31
12/1/2009,USA,Wheat,2.98,60.1
1/1/2010,USA,Wheat,2.97,59.89
2/1/2010,USA,Wheat,2.98,60.1
3/1/2010,USA,Wheat,2.99,60.31
4/1/2010,USA,Wheat,2.99,60.31
5/1/2010,USA,Wheat,2.92,55.61
6/1/2010,USA,Wheat,2.95,56.26
7/1/2010,USA,Wheat,3.09,60.3
8/1/2010,USA,Wheat,3.16,61.64
9/1/2010,USA,Wheat,3.18,62.02
10/1/2010,USA,Wheat,3.14,60.51
11/1/2010,USA,Wheat,3.12,60.1
12/1/2010,USA,Wheat,3.11,59.97
1/1/2011,USA,Wheat,3.1,59.69
2/1/2011,USA,Wheat,3.1,59.69
3/1/2011,USA,Wheat,3.12,60.1
4/1/2011,USA,Wheat,3.13,60.35
5/1/2011,USA,Wheat,2.86,55.61
6/1/2011,USA,Wheat,2.9,56.01
7/1/2011,USA,Wheat,3,57.32
8/1/2011,USA,Wheat,3.04,56.51
9/1/2011,USA,Wheat,3.02,56.13
10/1/2011,USA,Wheat,2.95,54.65
11/1/2011,USA,Wheat,2.94,54.41
12/1/2011,USA,Wheat,2.93,54.19
1/1/2012,USA,Wheat,2.94,54.4
2/1/2012,USA,Wheat,2.9,53.78
3/1/2012,USA,Wheat,2.93,54.23
4/1/2012,USA,Wheat,2.94,54.41
5/1/2012,USA,Wheat,3.07,61.11
6/1/2012,USA,Wheat,3.06,60.8
7/1/2012,USA,Wheat,3.06,60.53
8/1/2012,USA,Wheat,3.12,61.73
9/1/2012,USA,Wheat,3.13,61.95
10/1/2012,USA,Wheat,3.11,61.76
11/1/2012,USA,Wheat,3.11,61.76
12/1/2012,USA,Wheat,3.12,61.89
1/1/2013,USA,Wheat,3.1,61.58
2/1/2013,USA,Wheat,3.12,61.79
3/1/2013,USA,Wheat,3.13,62.01
4/1/2013,USA,Wheat,3.11,61.78
5/1/2013,USA,Wheat,2.96,55.98
6/1/2013,USA,Wheat,3,56.61
7/1/2013,USA,Wheat,3.11,57.52
8/1/2013,USA,Wheat,3.11,57.54
9/1/2013,USA,Wheat,3.14,58.21
10/1/2013,USA,Wheat,,
11/1/2013,USA,Wheat,3.17,57.96
12/1/2013,USA,Wheat,,
1/1/2014,USA,Wheat,3.1,56.13
2/1/2014,USA,Wheat,3.02,54.88
3/1/2014,USA,Wheat,,
4/1/2014,USA,Wheat,,
5/1/2014,USA,Wheat,2.87,53.43
6/1/2014,USA,Wheat,2.84,52.85
7/1/2014,USA,Wheat,2.9,54.21
8/1/2014,USA,Wheat,2.95,55.24
9/1/2014,USA,Wheat,2.96,55.39
10/1/2014,USA,Wheat,2.95,55.39
11/1/2014,USA,Wheat,2.94,55.13
12/1/2014,USA,Wheat,,
1/1/2015,USA,Wheat,2.94,55.13
2/1/2015,USA,Wheat,2.95,55.3
3/1/2015,USA,Wheat,,
4/1/2015,USA,Wheat,,
5/1/2015,USA,Wheat,2.92,56.81
6/1/2015,USA,Wheat,2.97,57.72
7/1/2015,USA,Wheat,2.98,58.46
8/1/2015,USA,Wheat,2.96,58.13
9/1/2015,USA,Wheat,2.94,57.86
10/1/2015,USA,Wheat,2.93,55.84
11/1/2015,USA,Wheat,2.93,55.84
12/1/2015,USA,Wheat,,
1/1/2016,USA,Wheat,3.03,55.46
2/1/2016,USA,Wheat,3.05,55.1
3/1/2016,USA,Wheat,,
4/1/2016,USA,Wheat,,
5/1/2016,USA,Wheat,3.14,54.37
6/1/2016,USA,Wheat,3.27,56.53
7/1/2016,USA,Wheat,3.45,61.53
8/1/2016,USA,Wheat,3.54,63.16
9/1/2016,USA,Wheat,3.57,63.66
10/1/2016,USA,Wheat,3.54,62.86
11/1/2016,USA,Wheat,3.52,62.5
12/1/2016,USA,Wheat,,
1/1/2017,USA,Wheat,3.4,54.33
2/1/2017,USA,Wheat,3.37,53.78
3/1/2017,USA,Wheat,,
4/1/2017,USA,Wheat,,
5/1/2017,USA,Wheat,3.18,49.54
6/1/2017,USA,Wheat,3.18,49.64
7/1/2017,USA,Wheat,3.1,47.89
8/1/2017,USA,Wheat,3.07,47.33
9/1/2017,USA,Wheat,3.05,47.01
10/1/2017,USA,Wheat,3.11,47.37
11/1/2017,USA,Wheat,3.12,47.5
12/1/2017,USA,Wheat,,
1/1/2018,USA,Wheat,3.13,47.78
2/1/2018,USA,Wheat,3.14,48.56
3/1/2018,USA,Wheat,,
4/1/2018,USA,Wheat,,
5/1/2018,USA,Wheat,3.15,49.57
6/1/2018,USA,Wheat,3.16,49.74
7/1/2018,USA,Wheat,3.2,51.21
8/1/2018,USA,Wheat,3.19,51.08
9/1/2018,USA,Wheat,3.17,50.86
10/1/2018,USA,Wheat,3.2,51.29
11/1/2018,USA,Wheat,,
12/1/2018,USA,Wheat,3.22,51.31
1/1/2019,USA,Wheat,3.24,51.38
2/1/2019,USA,Wheat,3.25,51.46
3/1/2019,USA,Wheat,,
4/1/2019,USA,Wheat,,
5/1/2019,USA,Wheat,3.27,51.62
6/1/2019,USA,Wheat,3.28,51.78
7/1/2019,USA,Wheat,3.36,52.28
8/1/2019,USA,Wheat,3.47,53.89
9/1/2019,USA,Wheat,3.48,54.05
10/1/2019,USA,Wheat,3.47,53.39
11/1/2019,USA,Wheat,3.47,52.26
12/1/2019,USA,Wheat,,
1/1/2020,USA,Wheat,3.4,51.56
2/1/2020,USA,Wheat,3.39,51.48
3/1/2020,USA,Wheat,,
4/1/2020,USA,Wheat,,
5/1/2020,USA,Wheat,3.33,50.78
6/1/2020,USA,Wheat,3.35,51.09
7/1/2020,USA,Wheat,3.34,49.63
8/1/2020,USA,Wheat,3.37,50.01
9/1/2020,USA,Wheat,3.38,50.15
10/1/2020,USA,Wheat,3.34,49.69
11/1/2020,USA,Wheat,3.34,49.69
12/1/2020,USA,Wheat,,
1/1/2021,USA,Wheat,3.34,49.7
2/1/2021,USA,Wheat,3.35,49.93
3/1/2021,USA,Wheat,,
4/1/2021,USA,Wheat,,
5/1/2021,USA,Wheat,3.36,50.95
6/1/2021,USA,Wheat,3.41,51.66
7/1/2021,USA,Wheat,3.08,47.52
8/1/2021,USA,Wheat,2.99,46.18
9/1/2021,USA,Wheat,2.99,46.18
10/1/2021,USA,Wheat,2.98,44.79
11/1/2021,USA,Wheat,3,44.99
12/1/2021,USA,Wheat,,
1/1/2022,USA,Wheat,3.04,45.56
2/1/2022,USA,Wheat,3.07,46
3/1/2022,USA,Wheat,,
4/1/2022,USA,Wheat,,
5/1/2022,USA,Wheat,3.14,47.05
6/1/2022,USA,Wheat,3.15,47.26
7/1/2022,USA,Wheat,3.18,48.47
8/1/2022,USA,Wheat,3.2,48.52
9/1/2022,USA,Wheat,3.17,46.35
10/1/2022,USA,Wheat,3.13,44.9
11/1/2022,USA,Wheat,3.13,44.9
12/1/2022,USA,Wheat,3.13,44.9
8/1/2002,USA,Corn,7.86,225.72
9/1/2002,USA,Corn,7.87,224.76
10/1/2002,USA,Corn,7.98,227.84
11/1/2002,USA,Corn,8.011,228.696
12/1/2002,USA,Corn,8.01,228.7
1/1/2003,USA,Corn,8.16,228.81
2/1/2003,USA,Corn,8.16,228.81
3/1/2003,USA,Corn,,
4/1/2003,USA,Corn,,
5/1/2003,USA,Corn,8.77,255.54
6/1/2003,USA,Corn,8.77,255.54
7/1/2003,USA,Corn,8.96,260.87
8/1/2003,USA,Corn,8.78,255.65
9/1/2003,USA,Corn,8.69,252.6
10/1/2003,USA,Corn,8.93,259.27
11/1/2003,USA,Corn,8.99,261.07
12/1/2003,USA,Corn,,
1/1/2004,USA,Corn,8.92,256.91
2/1/2004,USA,Corn,,
3/1/2004,USA,Corn,8.95,260.11
4/1/2004,USA,Corn,,
5/1/2004,USA,Corn,9.1,264.81
6/1/2004,USA,Corn,9.12,268.8
7/1/2004,USA,Corn,9.1,270.14
8/1/2004,USA,Corn,9.34,277.46
9/1/2004,USA,Corn,9.38,278.42
10/1/2004,USA,Corn,9.94,294.99
11/1/2004,USA,Corn,10.05,298.23
12/1/2004,USA,Corn,10.06,298.8
1/1/2005,USA,Corn,10.07,299.92
2/1/2005,USA,Corn,,
3/1/2005,USA,Corn,,
4/1/2005,USA,Corn,,
5/1/2005,USA,Corn,9.29,279.03
6/1/2005,USA,Corn,,
7/1/2005,USA,Corn,9.1,273.95
8/1/2005,USA,Corn,8.74,262.9
9/1/2005,USA,Corn,8.99,270.23
10/1/2005,USA,Corn,9.17,275.79
11/1/2005,USA,Corn,9.32,280.23
12/1/2005,USA,Corn,9.31,
1/1/2006,USA,Corn,9.29,282.26
2/1/2006,USA,Corn,9.29,
3/1/2006,USA,Corn,9.34,
4/1/2006,USA,Corn,9.35,
5/1/2006,USA,Corn,9.35,267.98
6/1/2006,USA,Corn,,
7/1/2006,USA,Corn,,
8/1/2006,USA,Corn,,
9/1/2006,USA,Corn,9.71,282.3
10/1/2006,USA,Corn,9.63,277.01
11/1/2006,USA,Corn,9.49,272.93
12/1/2006,USA,Corn,9.49,272.93
1/1/2007,USA,Corn,9.36,267.6
2/1/2007,USA,Corn,,
3/1/2007,USA,Corn,9.36,
4/1/2007,USA,Corn,,
5/1/2007,USA,Corn,9.43,316.5
6/1/2007,USA,Corn,9.43,
7/1/2007,USA,Corn,9.44,326.15
8/1/2007,USA,Corn,9.59,331.58
9/1/2007,USA,Corn,9.78,338.04
10/1/2007,USA,Corn,9.71,338.3
11/1/2007,USA,Corn,9.6,334.48
12/1/2007,USA,Corn,9.6,
1/1/2008,USA,Corn,9.48,332.09
2/1/2008,USA,Corn,,
3/1/2008,USA,Corn,,
4/1/2008,USA,Corn,,
5/1/2008,USA,Corn,9.66,307.99
6/1/2008,USA,Corn,9.35,298.08
7/1/2008,USA,Corn,9.31,297.58
8/1/2008,USA,Corn,9.73,312.13
9/1/2008,USA,Corn,9.56,306.65
10/1/2008,USA,Corn,9.67,309.89
11/1/2008,USA,Corn,9.65,305.32
12/1/2008,USA,Corn,9.65,
1/1/2009,USA,Corn,9.66,307.39
2/1/2009,USA,Corn,,
3/1/2009,USA,Corn,,
4/1/2009,USA,Corn,,
5/1/2009,USA,Corn,9.75,307.1
6/1/2009,USA,Corn,9.63,303.16
7/1/2009,USA,Corn,9.63,312.18
8/1/2009,USA,Corn,10.01,324.14
9/1/2009,USA,Corn,10.16,329.06
10/1/2009,USA,Corn,10.3,330.67
11/1/2009,USA,Corn,10.23,328.21
12/1/2009,USA,Corn,10.3,
1/1/2010,USA,Corn,10.37,334.05
2/1/2010,USA,Corn,,
3/1/2010,USA,Corn,10.35,333.53
4/1/2010,USA,Corn,10.34,333.01
5/1/2010,USA,Corn,10.26,339.61
6/1/2010,USA,Corn,10.26,
7/1/2010,USA,Corn,10.26,336.44
8/1/2010,USA,Corn,10.36,339.49
9/1/2010,USA,Corn,10.2,334.27
10/1/2010,USA,Corn,9.78,321.68
11/1/2010,USA,Corn,9.69,318.52
12/1/2010,USA,Corn,9.61,
1/1/2011,USA,Corn,9.59,316.17
2/1/2011,USA,Corn,,
3/1/2011,USA,Corn,,
4/1/2011,USA,Corn,,
5/1/2011,USA,Corn,9.96,343.04
6/1/2011,USA,Corn,9.96,335.3
7/1/2011,USA,Corn,9.96,342.15
8/1/2011,USA,Corn,9.61,328.03
9/1/2011,USA,Corn,9.3,317.44
10/1/2011,USA,Corn,9.3,315.81
11/1/2011,USA,Corn,9.21,312.69
12/1/2011,USA,Corn,9.21,
1/1/2012,USA,Corn,9.24,313.92
2/1/2012,USA,Corn,,
3/1/2012,USA,Corn,,
4/1/2012,USA,Corn,,
5/1/2012,USA,Corn,10.42,375.68
6/1/2012,USA,Corn,10.42,
7/1/2012,USA,Corn,9.16,329.45
8/1/2012,USA,Corn,7.74,273.79
9/1/2012,USA,Corn,7.71,272.49
10/1/2012,USA,Corn,7.66,271.94
11/1/2012,USA,Corn,7.67,272.43
12/1/2012,USA,Corn,7.67,
1/1/2013,USA,Corn,7.74,273.83
2/1/2013,USA,Corn,,
3/1/2013,USA,Corn,,
4/1/2013,USA,Corn,,
5/1/2013,USA,Corn,9.92,359.17
6/1/2013,USA,Corn,9.82,355.74
7/1/2013,USA,Corn,9.82,354.35
8/1/2013,USA,Corn,9.69,349.6
9/1/2013,USA,Corn,9.75,351.64
10/1/2013,USA,Corn,,
11/1/2013,USA,Corn,10.07,355.33
12/1/2013,USA,Corn,10.05,
1/1/2014,USA,Corn,9.97,353.72
2/1/2014,USA,Corn,,
3/1/2014,USA,Corn,,
4/1/2014,USA,Corn,,
5/1/2014,USA,Corn,10.376,353.965
6/1/2014,USA,Corn,10.38,353.97
7/1/2014,USA,Corn,10.38,352.06
8/1/2014,USA,Corn,10.51,356.43
9/1/2014,USA,Corn,10.78,365.66
10/1/2014,USA,Corn,10.93,367.68
11/1/2014,USA,Corn,10.88,365.97
12/1/2014,USA,Corn,10.78,
1/1/2015,USA,Corn,10.73,361.09
2/1/2015,USA,Corn,,
3/1/2015,USA,Corn,,
4/1/2015,USA,Corn,,
5/1/2015,USA,Corn,10.47,346.22
6/1/2015,USA,Corn,10.47,
7/1/2015,USA,Corn,10.47,343.68
8/1/2015,USA,Corn,10.59,347.64
9/1/2015,USA,Corn,10.51,345.07
10/1/2015,USA,Corn,10.55,344.31
11/1/2015,USA,Corn,10.62,346.82
12/1/2015,USA,Corn,10.6,
1/1/2016,USA,Corn,10.57,345.49
2/1/2016,USA,Corn,,
3/1/2016,USA,Corn,,
4/1/2016,USA,Corn,,
5/1/2016,USA,Corn,10.54,366.54
6/1/2016,USA,Corn,,
7/1/2016,USA,Corn,10.54,369.33
8/1/2016,USA,Corn,10.99,384.92
9/1/2016,USA,Corn,10.95,383.38
10/1/2016,USA,Corn,10.88,382.48
11/1/2016,USA,Corn,11.01,386.75
12/1/2016,USA,Corn,11.01,
1/1/2017,USA,Corn,10.96,384.78
2/1/2017,USA,Corn,,
3/1/2017,USA,Corn,,
4/1/2017,USA,Corn,,
5/1/2017,USA,Corn,10.71,357.27
6/1/2017,USA,Corn,10.71,
7/1/2017,USA,Corn,10.72,362.09
8/1/2017,USA,Corn,10.64,359.5
9/1/2017,USA,Corn,10.66,360.3
10/1/2017,USA,Corn,10.78,362.73
11/1/2017,USA,Corn,11.01,370.29
12/1/2017,USA,Corn,11.04,
1/1/2018,USA,Corn,11.08,370.96
2/1/2018,USA,Corn,,
3/1/2018,USA,Corn,,
4/1/2018,USA,Corn,,
5/1/2018,USA,Corn,10.92,356.63
6/1/2018,USA,Corn,10.92,
7/1/2018,USA,Corn,10.92,361.46
8/1/2018,USA,Corn,11.2,370.51
9/1/2018,USA,Corn,11.38,376.62
10/1/2018,USA,Corn,11.34,375.37
11/1/2018,USA,Corn,11.23,371.52
12/1/2018,USA,Corn,11.14,
1/1/2019,USA,Corn,11.07,
2/1/2019,USA,Corn,11.07,366.29
3/1/2019,USA,Corn,,
4/1/2019,USA,Corn,,
5/1/2019,USA,Corn,11.05,381.78
6/1/2019,USA,Corn,10.42,347.49
7/1/2019,USA,Corn,10.42,352.44
8/1/2019,USA,Corn,10.64,353.09
9/1/2019,USA,Corn,10.56,350.52
10/1/2019,USA,Corn,10.57,350.01
11/1/2019,USA,Corn,10.48,347.01
12/1/2019,USA,Corn,10.5,
1/1/2020,USA,Corn,10.55,347.78
2/1/2020,USA,Corn,,
3/1/2020,USA,Corn,10.53,347.05
4/1/2020,USA,Corn,,
5/1/2020,USA,Corn,11.2,406.29
6/1/2020,USA,Corn,11.2,
7/1/2020,USA,Corn,11.21,381.02
8/1/2020,USA,Corn,11.41,388.08
9/1/2020,USA,Corn,11.2,378.47
10/1/2020,USA,Corn,11.2,373.95
11/1/2020,USA,Corn,11.03,368.49
12/1/2020,USA,Corn,10.89,
1/1/2021,USA,Corn,10.79,360.25
2/1/2021,USA,Corn,,
3/1/2021,USA,Corn,,
4/1/2021,USA,Corn,,
5/1/2021,USA,Corn,11.27,380.76
6/1/2021,USA,Corn,11.27,
7/1/2021,USA,Corn,11.29,385.21
8/1/2021,USA,Corn,10.96,374.68
9/1/2021,USA,Corn,11.06,380.93
10/1/2021,USA,Corn,11.08,381.49
11/1/2021,USA,Corn,11.11,382.59
12/1/2021,USA,Corn,11.11,
1/1/2022,USA,Corn,11.11,383.94
2/1/2022,USA,Corn,,
3/1/2022,USA,Corn,,
4/1/2022,USA,Corn,,
5/1/2022,USA,Corn,11.11,367.3
6/1/2022,USA,Corn,11.11,
7/1/2022,USA,Corn,11.11,368.44
8/1/2022,USA,Corn,11.01,364.73
9/1/2022,USA,Corn,10.83,354.19
10/1/2022,USA,Corn,10.79,352.95
11/1/2022,USA,Corn,10.82,353.84
12/1/2022,USA,Corn,10.88,348.75
